time,type,price,shares
2024-01-30 00:00:00,buy,3.374,8802
2024-02-01 00:00:00,sell,3.346,8802
2024-02-08 00:00:00,buy,3.506,8450
2024-03-05 00:00:00,sell,3.705,8450
2024-03-06 00:00:00,buy,3.684,8519
2024-03-27 00:00:00,sell,3.634,8519
2024-04-08 00:00:00,buy,3.668,14473
2024-04-10 00:00:00,sell,3.637,14473
2024-04-19 00:00:00,buy,3.67,14220
2024-04-24 00:00:00,sell,3.65,14220
2024-04-29 00:00:00,buy,3.76,13481
2024-05-28 00:00:00,sell,3.751,13481
2024-07-15 00:00:00,buy,3.663,12395
2024-07-26 00:00:00,sell,3.611,12395
2024-09-26 00:00:00,buy,3.726,8076
2024-09-27 00:00:00,sell,3.992,8076
2024-09-30 00:00:00,buy,4.331,7599
2024-10-08 00:00:00,sell,4.551,7599
2024-10-09 00:00:00,buy,4.136,8564
2024-10-15 00:00:00,sell,4.037,8564
2024-10-16 00:00:00,buy,4.006,8343
2024-10-31 00:00:00,sell,4.075,8343
2024-11-05 00:00:00,buy,4.238,13372
2024-11-18 00:00:00,sell,4.142,13372
2024-11-19 00:00:00,buy,4.164,12984
2024-11-20 00:00:00,sell,4.172,12984
2024-12-10 00:00:00,buy,4.187,13289
2024-12-16 00:00:00,sell,4.1,13289
2024-12-17 00:00:00,buy,4.108,13671
2024-12-20 00:00:00,sell,4.121,13671
2024-12-24 00:00:00,buy,4.175,13692
