time,type,price,shares,note
2022-01-04,buy,4.915,3021,建立基础仓位
2022-01-05,sell,4.866,1510,减少基础仓位
2022-01-05,sell,4.866,1510,
2022-06-06,buy,4.172,3554,增加基础仓位
2022-06-22,sell,4.29,1777,减少基础仓位
2022-06-22,sell,4.29,1777,
2022-06-29,buy,4.455,3342,增加基础仓位
2022-07-01,sell,4.498,1671,减少基础仓位
2022-07-01,sell,4.498,1671,
2022-11-04,buy,3.835,3888,增加基础仓位
2022-11-09,sell,3.775,1944,减少基础仓位
2022-11-09,sell,3.775,1944,
2022-11-11,buy,3.855,3858,增加基础仓位
2022-11-21,sell,3.836,1929,减少基础仓位
2022-11-21,sell,3.836,1929,
2022-12-06,buy,4.029,3689,增加基础仓位
2022-12-12,sell,4.018,1844,减少基础仓位
2022-12-12,sell,4.018,1844,
2022-12-16,buy,4.014,3701,增加基础仓位
2022-12-19,sell,3.959,1850,减少基础仓位
2022-12-19,sell,3.959,1850,
